reference,executed_at,symbol,direction,qty,unit_price,total,status
T-2001,2025-08-04 09:00:00,BTC-USD,B,0.5,61500,30750.00,SETTLED
T-2002,2025-08-04T11:05:00+02:00,ETH-USD,S,12,3410,40920.00,SETTLED
T-2003,2025-08-04 09:31:30,SOL-USD,B,250,148.20,37050.00,SETTLED
T-2004,2025-08-04 10:00:00,BTC-USD,S,0.2,61712.35,12342.48,SETTLED
T-2005,2025-08-04 10:30:00,BTC-USD,B,20,50004.50,1000090.00,SETTLED
T-2006,2025-08-04 11:00:00,ETH-USD,B,5,3400,17000,SETTLED
T-2007,2025-08-04 11:15:00,btc-usd,b,0.1,61000,6100.00,SETTLED
 T-2008 , 2025-08-04 11:45:00 , SOL-USD , S , 400 , 149.50 , 59800.00 , SETTLED 
t-2009,2025-08-04 12:00:00,ETH-USD,S,8,3395,27160.00,SETTLED
T-2010,2025-08-04 12:30:00.500,BTC-USD,B,0.75,61800,46350.00,SETTLED
T-2011,2025-08-05 09:02:00,ETH-USD,B,4,3402.50,13610.00,SETTLED
T-2012,2025-08-05 09:20:00,SOL-USD,B,25,160,4000.39,SETTLED
T-2013,2025-08-05 09:40:00,BTC-USD,B,2.00000002,61000,122000.00,SETTLED
T-2014,2025-08-05 10:00:00,BTC-USD,B,0.05,0,0.00,SETTLED
T-2015,2025-08-05 10:20:00,ETH-USD,S,3,3390,10170.00,SETTLED
T-2016,2025-08-05 10:45:00,BTC-USD,S,0.12345678,61234.50,7559.81,SETTLED
"T-2017","2025-08-05 11:00:00","SOL-USD","B","120","158.75","19050.00","SETTLED"
T-2018,2025-08-05 11:30:00,ETH-USD,B,10,3417,34170.00,SETTLED
T-2019,2025-08-05 12:40:00,SOL-USD,S,300,146,43800.00,SETTLED
T-2020,2025-08-06 09:00:00,SOL-USD,B,99.5,151,15024.50,SETTLED
T-2021,2025-08-06 09:15:00,ETH-USD,B,6,3388,20328.00,SETTLED
T-2022,2025-08-06 09:30:00,ETH-EUR,B,7,3405,23835.00,SETTLED
T-2023,2025-08-06 09:50:00,BTC-USD,B,1.5,62220,93330.00,SETTLED
T-2024,2025-08-06 10:00:00,SOL-USD,B,25,160,4000.42,SETTLED
T-2025,2025-08-06 10:17:01,ETH-USD,B,2,3400,6800.00,SETTLED
T-2026,2025-08-06 10:30:00,BTC-USD,B,2.00000003,61000,122000.00,SETTLED
T-2027,2025-08-06 11:00:00,SOL-USD,B,100,149,14900.00,CANCELLED
T-2029,2025-08-06 11:30:00,BTC-USD,B,0.3,61250,18375.00,CANCELLED
C-9101,2025-08-06 12:00:00,ETH-USD,S,4,3399,13596.00,CANCELLED
C-9102,2025-08-07 08:30:00,BTC-USD,B,0.05,61400,3070.00,SETTLED
C-9103,2025-08-07 08:45:00,USDC-USD,S,250,1.00,250.00,SETTLED
C-9104,2025-08-07 09:31:00,XRP-USD,B,5000,3.05,15250.01,SETTLED
C-9105,2025-08-07 10:05:00,LTC-USD,S,150,92.40,13860.00,SETTLED
C-9106,2025-08-07 10:28:00,DOT-USD,B,800,4.15,3320.00,SETTLED
C-9107,2025-08-07 10:32:00,DOT-USD,B,800,4.15,3320.00,SETTLED
C-9108,2025-08-07 11:02:00,AVAX-USD,B,900,22.00,19800.00,SETTLED
C-9109,2025-08-07 11:37:48,LINK-USD,S,1200,15.60,18720.00,SETTLED
C-9110,2025-08-07 12:07:30,MATIC-USD,B,20000,0.72,14400.00,SETTLED
C-9111,2025-08-08 09:00:05,ETH-USD,B,6,3420,20520.00,SETTLED
C-9112,2025-08-08 09:00:07,ETH-USD,B,4,3420,13680.00,SETTLED
T-2039,2025-08-08 10:00:00,BTC-USD,B,0.25,62000,15500.00,SETTLED
T-2040,2025-08-08 10:00:00,BTC-USD,B,0.25,62000,15500.00,SETTLED
