"reference","executed_at","symbol","direction","qty","unit_price","total","status"
"T-2001","2025-08-04 09:00:00","BTC-USD","B","0.5","61500","30750.00","SETTLED"
"T-2002","2025-08-04T11:05:00+02:00","ETH-USD","S","12","3410","40920.00","SETTLED"
"T-2003","2025-08-04 09:31:30","SOL-USD","B","250","148.20","37050.00","SETTLED"
"T-2004","2025-08-04 10:00:00","BTC-USD","S","0.2","61712.35","12342.48","SETTLED"
"T-2005","2025-08-04 10:30:00","BTC-USD","B","20","50004.50","1000090.00","SETTLED"

"T-2006","2025-08-04 11:00:00","ETH-USD","B","5","3400","17000","SETTLED"
"T-2007","2025-08-04 11:15:00","btc-usd","b","0.1","61000","6100.00","SETTLED"
"T-2008","2025-08-04 11:45:00","SOL-USD","S","400","149.50","59800.00","SETTLED"
"t-2009","2025-08-04 12:00:00","ETH-USD","S","8","3395","27160.00","SETTLED"
"T-2010","2025-08-04 12:30:00.500","BTC-USD","B","0.75","61800","46350.00","SETTLED"
