trade_id,traded_at,instrument,side,quantity,price,gross_amount,state
T-2001,2025-08-04T09:00:00Z,BTC-USD,BUY,0.50000000,61500.00,30750.00,SETTLED
T-2002,2025-08-04T09:05:00Z,ETH-USD,SELL,12.00,3410.00,40920.00,SETTLED
T-2003,2025-08-04T09:30:00Z,SOL-USD,BUY,250.00,148.20,37050.00,SETTLED
T-2004,2025-08-04T10:00:00Z,BTC-USD,SELL,0.20,61712.35,12342.47,SETTLED
T-2005,2025-08-04T10:30:00Z,BTC-USD,BUY,20.00,50000.00,1000000.00,SETTLED
T-2006,2025-08-04T11:00:00Z,ETH-USD,BUY,5.00000000,3400.00,17000.00,SETTLED
T-2007,2025-08-04T11:15:00Z,btc-usd,buy,0.10,61000.00,6100.00,SETTLED
T-2008,2025-08-04T11:45:00Z,SOL-USD,SELL,400.00,149.50,59800.00,SETTLED
T-2009,2025-08-04T12:00:00Z,ETH-USD,SELL,8.00,3395.00,27160.00,SETTLED
T-2010,2025-08-04T12:30:00.250Z,BTC-USD,BUY,0.75,61800.00,46350.00,SETTLED
T-2011,2025-08-05T09:00:00Z,ETH-USD,BUY,4.00,3402.50,13610.00,SETTLED
T-2012,2025-08-05T09:20:00Z,SOL-USD,BUY,25.00,160.00,4000.00,SETTLED
T-2013,2025-08-05T09:40:00Z,BTC-USD,BUY,2.00000001,61000.00,122000.00,SETTLED
T-2014,2025-08-05T10:00:00Z,BTC-USD,BUY,0.05000000,0.00,0.00,SETTLED
T-2015,2025-08-05T10:20:00Z,ETH-USD,SELL,3.00,3390.00,10170.00,SETTLED
T-2016,2025-08-05T10:45:00Z,BTC-USD,SELL,0.12345678,61234.50,7559.81,SETTLED
T-2017,2025-08-05T11:00:00Z,SOL-USD,BUY,120.00,158.75,19050.00,SETTLED
T-2018,2025-08-05T11:30:00Z,ETH-USD,BUY,10.00,3417.00,34170.00,SETTLED
T-2019,2025-08-05T12:00:00Z,SOL-USD,SELL,300.00,146.00,43800.00,SETTLED
T-2020,2025-08-06T09:00:00Z,SOL-USD,BUY,99.50,151.00,15024.50,SETTLED
T-2021,2025-08-06T09:15:00Z,ETH-USD,SELL,6.00,3388.00,20328.00,SETTLED
T-2022,2025-08-06T09:30:00Z,ETH-USD,BUY,7.00,3405.00,23835.00,SETTLED
T-2023,2025-08-06T09:45:00Z,BTC-USD,BUY,1.50,61000.00,91500.00,SETTLED
T-2024,2025-08-06T10:00:00Z,SOL-USD,BUY,25.00,160.00,4000.42,SETTLED
T-2025,2025-08-06T10:15:00Z,ETH-USD,BUY,2.00,3400.00,6800.00,SETTLED
T-2026,2025-08-06T10:30:00Z,BTC-USD,BUY,2.00000001,61000.00,122000.00,SETTLED
T-2027,2025-08-06T11:00:00Z,SOL-USD,BUY,100.00,149.00,14900.00,CANCELLED
T-2028,2025-08-06T11:15:00Z,ETH-USD,SELL,5.00,3400.00,17000.00,CANCELLED
T-2029,2025-08-06T11:30:00Z,BTC-USD,BUY,0.30,61250.00,18375.00,SETTLED
T-2030,2025-08-07T09:00:00Z,BTC-USD,SELL,0.40,61900.00,24760.00,SETTLED
T-2031,2025-08-08T23:58:00Z,ETH-USD,BUY,9.00,3412.00,30708.00,SETTLED
T-2032,2025-08-07T09:30:00Z,XRP-USD,BUY,5000.00,3.05,15250.00,SETTLED
T-2033,2025-08-07T10:00:00Z,LTC-USD,SELL,150.00,92.40,13860.00,SETTLED
T-2034,2025-08-07T10:30:00Z,DOT-USD,BUY,800.00,4.15,3320.00,SETTLED
T-2035,2025-08-07T11:00:00Z,AVAX-USD,BUY,900.00,22.00,19800.00,SETTLED
T-2036,2025-08-07T11:30:00Z,LINK-USD,SELL,1200.00,15.60,18720.00,SETTLED
T-2037,2025-08-07T12:00:00Z,MATIC-USD,BUY,20000.00,0.72,14400.00,SETTLED
T-2038,2025-08-08T09:00:00Z,ETH-USD,BUY,10.00,3420.00,34200.00,SETTLED
T-2039,2025-08-08T10:00:00Z,BTC-USD,BUY,0.25,62000.00,15500.00,SETTLED
T-2040,2025-08-08T10:00:00Z,BTC-USD,BUY,0.25,62000.00,15500.00,SETTLED
