"trade_id","traded_at","instrument","side","quantity","price","gross_amount","state"
"T-2001","2025-08-04T09:00:00Z","BTC-USD","BUY","0.50000000","61500.00","30750.00","SETTLED"
"T-2002","2025-08-04T09:05:00Z","ETH-USD","SELL","12.00","3410.00","40920.00","SETTLED"
"T-2003","2025-08-04T09:30:00Z","SOL-USD","BUY","250.00","148.20","37050.00","SETTLED"
"T-2004","2025-08-04T10:00:00Z","BTC-USD","SELL","0.20","61712.35","12342.47","SETTLED"
"T-2005","2025-08-04T10:30:00Z","BTC-USD","BUY","20.00","50000.00","1000000.00","SETTLED"

"T-2006","2025-08-04T11:00:00Z","ETH-USD","BUY","5.00000000","3400.00","17000.00","SETTLED"
"T-2007","2025-08-04T11:15:00Z","btc-usd","buy","0.10","61000.00","6100.00","SETTLED"
"T-2008","2025-08-04T11:45:00Z","SOL-USD","SELL","400.00","149.50","59800.00","SETTLED"
"T-2009","2025-08-04T12:00:00Z","ETH-USD","SELL","8.00","3395.00","27160.00","SETTLED"
"T-2010","2025-08-04T12:30:00.250Z","BTC-USD","BUY","0.75","61800.00","46350.00","SETTLED"
