transaction_id,executed_at,instrument,side,quantity,unit_price,gross_amount,state
ST-1001,2026-08-18T09:00:00Z,BTC-USD,BUY,1.00,50000.00,50000.00,SETTLED
ST-1002,2026-08-18T10:00:00Z,ETH-USD,SELL,5.00000000,2000.00,10000.00,SETTLED
ST-1003,2026-08-18T11:00:00Z,SOL-USD,BUY,100.00,152.00,15200.00,SETTLED
L-MANUAL-1,2026-08-18T12:00:00Z,AVAX-USD,SELL,40.00,25.00,1000.00,SETTLED
L-ONLY-1,2026-08-18T13:00:00Z,LINK-USD,BUY,20.00,15.00,300.00,SETTLED
L-AUTO-1,2026-08-18T14:00:00Z,XRP-USD,BUY,1000.00,0.50,500.00,SETTLED
ST-CANCEL-1,2026-08-18T15:00:00Z,DOGE-USD,SELL,10000.00,0.10,1000.00,CANCELLED
ST-3001,2026-08-18T16:00:00Z,BTC-USD,SELL,0.25,51000.00,12750.00,SETTLED
ST-3002,2026-08-18T17:00:00Z,ETH-USD,BUY,2.00,2100.00,4200.00,SETTLED
L-CANDIDATE-3,2026-08-18T18:00:00Z,SOL-USD,SELL,10.00,160.00,1600.00,SETTLED
L-TIE-1,2026-08-18T19:00:00Z,DOGE-USD,BUY,5000.00,0.12,600.00,SETTLED
